Fylkesnummer;Fylker (19 stk);Kommunenummer;Kommuner (428 stk);Antall kommuner i fylke
Nr. 01;Østfold;Nr. 0101;Halden;18 kommuner
Nr. 01;Østfold;Nr. 0104;Moss;18 kommuner
Nr. 01;Østfold;Nr. 0105;Sarpsborg;18 kommuner
Nr. 01;Østfold;Nr. 0106;Fredrikstad;18 kommuner
Nr. 01;Østfold;Nr. 0111;Hvaler;18 kommuner
Nr. 01;Østfold;Nr. 0118;Aremark;18 kommuner
Nr. 01;Østfold;Nr. 0119;Marker;18 kommuner
Nr. 01;Østfold;Nr. 0121;Rømskog;18 kommuner
Nr. 01;Østfold;Nr. 0122;Trøgstad;18 kommuner
Nr. 01;Østfold;Nr. 0123;Spydeberg;18 kommuner
Nr. 01;Østfold;Nr. 0124;Askim;18 kommuner
Nr. 01;Østfold;Nr. 0125;Eidsberg;18 kommuner
Nr. 01;Østfold;Nr. 0127;Skiptvet;18 kommuner
Nr. 01;Østfold;Nr. 0128;Rakkestad;18 kommuner
Nr. 01;Østfold;Nr. 0135;Råde;18 kommuner
Nr. 01;Østfold;Nr. 0136;Rygge;18 kommuner
Nr. 01;Østfold;Nr. 0137;Våler;18 kommuner
Nr. 01;Østfold;Nr. 0138;Hobøl;18 kommuner
Nr. 02;Akershus;Nr. 0211;Vestby;22 kommuner
Nr. 02;Akershus;Nr. 0213;Ski;22 kommuner
Nr. 02;Akershus;Nr. 0214;Ås;22 kommuner
Nr. 02;Akershus;Nr. 0215;Frogn;22 kommuner
Nr. 02;Akershus;Nr. 0216;Nesodden;22 kommuner
Nr. 02;Akershus;Nr. 0217;Oppegård;22 kommuner
Nr. 02;Akershus;Nr. 0219;Bærum;22 kommuner
Nr. 02;Akershus;Nr. 0220;Asker;22 kommuner
Nr. 02;Akershus;Nr. 0221;Aurskog-Høland;22 kommuner
Nr. 02;Akershus;Nr. 0226;Sørum;22 kommuner
Nr. 02;Akershus;Nr. 0227;Fet;22 kommuner
Nr. 02;Akershus;Nr. 0228;Rælingen;22 kommuner
Nr. 02;Akershus;Nr. 0229;Enebakk;22 kommuner
Nr. 02;Akershus;Nr. 0230;Lørenskog;22 kommuner
Nr. 02;Akershus;Nr. 0231;Skedsmo;22 kommuner
Nr. 02;Akershus;Nr. 0233;Nittedal;22 kommuner
Nr. 02;Akershus;Nr. 0234;Gjerdrum;22 kommuner
Nr. 02;Akershus;Nr. 0235;Ullensaker;22 kommuner
Nr. 02;Akershus;Nr. 0236;Nes;22 kommuner
Nr. 02;Akershus;Nr. 0237;Eidsvoll;22 kommuner
Nr. 02;Akershus;Nr. 0238;Nannestad;22 kommuner
Nr. 02;Akershus;Nr. 0239;Hurdal;22 kommuner
Nr. 03;Oslo;Nr. 0301;Oslo;1 kommune
Nr. 04;Hedmark;NR. 0402;Kongsvinger;22 kommuner
Nr. 04;Hedmark;Nr. 0403;Hamar;22 kommuner
Nr. 04;Hedmark;Nr. 0412;Ringsaker;22 kommuner
Nr. 04;Hedmark;Nr. 0415;Løten;22 kommuner
Nr. 04;Hedmark;Nr. 0417;Stange;22 kommuner
Nr. 04;Hedmark;Nr. 0418;Nord-Odal;22 kommuner
Nr. 04;Hedmark;Nr. 0419;Sør-Odal;22 kommuner
Nr. 04;Hedmark;Nr. 0420;Eidskog;22 kommuner
Nr. 04;Hedmark;Nr. 0423;Grue;22 kommuner
Nr. 04;Hedmark;Nr. 0425;Åsnes;22 kommuner
Nr. 04;Hedmark;Nr. 0426;Våler;22 kommuner
Nr. 04;Hedmark;Nr. 0427;Elverum;22 kommuner
Nr. 04;Hedmark;Nr. 0428;Trysil;22 kommuner
Nr. 04;Hedmark;Nr. 0429;Åmot;22 kommuner
Nr. 04;Hedmark;Nr. 0430;Stor-Elvdal;22 kommuner
Nr. 04;Hedmark;Nr. 0432;Rendalen;22 kommuner
Nr. 04;Hedmark;Nr. 0434;Engerdal;22 kommuner
Nr. 04;Hedmark;Nr. 0436;Tolga;22 kommuner
Nr. 04;Hedmark;Nr. 0437;Tynset;22 kommuner
Nr. 04;Hedmark;Nr. 0438;Alvdal;22 kommuner
Nr. 04;Hedmark;Nr. 0439;Folldal;22 kommuner
Nr. 04;Hedmark;Nr. 0441;Os;22 kommuner
Nr. 05;Oppland;Nr. 0501;Lillehammer;26 kommuner
Nr. 05;Oppland;Nr. 0502;Gjøvik;26 kommuner
Nr. 05;Oppland;Nr. 0511;Dovre;26 kommuner
Nr. 05;Oppland;Nr. 0512;Lesja;26 kommuner
Nr. 05;Oppland;Nr. 0513;Skjåk;26 kommuner
Nr. 05;Oppland;Nr. 0514;Lom;26 kommuner
Nr. 05;Oppland;Nr. 0515;Vågå;26 kommuner
Nr. 05;Oppland;Nr. 0516;Nord-Fron;26 kommuner
Nr. 05;Oppland;Nr. 0517;Sel;26 kommuner
Nr. 05;Oppland;Nr. 0519;Sør-Fron;26 kommuner
Nr. 05;Oppland;Nr. 0520;Ringebu;26 kommuner
Nr. 05;Oppland;Nr. 0521;Øyer;26 kommuner
Nr. 05;Oppland;Nr. 0522;Gausdal;26 kommuner
Nr. 05;Oppland;Nr. 0528;Østre Toten;26 kommuner
Nr. 05;Oppland;Nr. 0529;Vestre Toten;26 kommuner
Nr. 05;Oppland;Nr. 0532;Jevnaker;26 kommuner
Nr. 05;Oppland;Nr. 0533;Lunner;26 kommuner
Nr. 05;Oppland;Nr. 0534;Gran;26 kommuner
Nr. 05;Oppland;Nr. 0536;Søndre Land;26 kommuner
Nr. 05;Oppland;Nr. 0538;Nordre Land;26 kommuner
Nr. 05;Oppland;Nr. 0540;Sør-Aurdal;26 kommuner
Nr. 05;Oppland;Nr. 0541;Etnedal;26 kommuner
Nr. 05;Oppland;Nr. 0542;Nord-Aurdal;26 kommuner
Nr. 05;Oppland;Nr. 0543;Vestre Slidre;26 kommuner
Nr. 05;Oppland;Nr. 0544;Øystre Slidre;26 kommuner
Nr. 05;Oppland;Nr. 0545;Vang;26 kommuner
Nr. 06;Buskerud;Nr. 0602;Drammen;21 kommuner
Nr. 06;Buskerud;Nr. 0604;Kongsberg;21 kommuner
Nr. 06;Buskerud;Nr. 0605;Ringerike;21kommuner
Nr. 06;Buskerud;Nr. 0612;Hole;21 kommuner
Nr. 06;Buskerud;Nr. 0615;Flå;21 kommuner
Nr. 06;Buskerud;Nr. 0616;Nes;21 kommuner
Nr. 06;Buskerud;Nr. 0617;Gol;21 kommuner
Nr. 06;Buskerud;Nr. 0618;Hemsedal;21 kommuner
Nr. 06;Buskerud;Nr. 0619;Ål;21kommuner
Nr. 06;Buskerud;Nr. 0620;Hol;21 kommuner
Nr. 06;Buskerud;Nr. 0621;Sigdal;21 kommuner
Nr. 06;Buskerud;Nr. 0622;Krødsherad;21 kommuner
Nr. 06;Buskerud;Nr. 0623;Modum;21 kommuner
Nr. 06;Buskerud;Nr. 0624;Øvre Eiker;21 kommuner
Nr. 06;Buskerud;Nr. 0625;Nedre Eiker;21kommuner
Nr. 06;Buskerud;Nr. 0626;Lier;21 kommuner
Nr. 06;Buskerud;Nr. 0627;Røyken;21 kommuner
Nr. 06;Buskerud;Nr. 0628;Hurum;21 kommuner
Nr. 06;Buskerud;Nr. 0631;Flesberg;21 kommuner
Nr. 06;Buskerud;Nr. 0632;Rollag;21 kommuner
Nr. 06;Buskerud;Nr. 0633;Nore og Uvdal;21 kommuner
Nr. 07;Vestfold;Nr. 0701;Horten;14 kommuner
Nr. 07;Vestfold;Nr. 0702;Holmestrand;14 kommuner
Nr. 07;Vestfold;Nr. 0704;Tønsberg;14 kommuner
Nr. 07;Vestfold;Nr. 0706;Sandefjord;14 kommuner
Nr. 07;Vestfold;Nr. 0709;Larvik;14 kommuner
Nr. 07;Vestfold;Nr. 0711;Svelvik;14 kommuner
Nr. 07;Vestfold;Nr. 0713;Sande;14 kommuner
Nr. 07;Vestfold;Nr. 0714;Hof;14 kommuner
Nr. 07;Vestfold;Nr. 0716;Re;14 kommuner
Nr. 07;Vestfold;Nr. 0719;Andebu;14 kommuner
Nr. 07;Vestfold;Nr. 0720;Stokke;14 kommuner
Nr. 07;Vestfold;Nr. 0722;Nøtterøy;14 kommuner
Nr. 07;Vestfold;Nr. 0723;Tjøme;14 kommuner
Nr. 07;Vestfold;Nr. 0728;Lardal;14 kommuner
Nr. 08;Telemark;Nr. 0805;Porsgrunn;18 kommuner
Nr. 08;Telemark;Nr. 0806;Skien;18 kommuner
Nr. 08;Telemark;Nr. 0807;Notodden;18 kommuner
Nr. 08;Telemark;Nr. 0811;Siljan;18 kommuner
Nr. 08;Telemark;Nr. 0814;Bamble;18 kommuner
Nr. 08;Telemark;Nr. 0815;Kragerø;18 kommuner
Nr. 08;Telemark;Nr. 0817;Drangedal;18 kommuner
Nr. 08;Telemark;Nr. 0819;Nome;18 kommuner
Nr. 08;Telemark;Nr. 0821;Bø;18 kommuner
Nr. 08;Telemark;Nr. 0822;Sauherad;18 kommuner
Nr. 08;Telemark;Nr. 0826;Tinn;18 kommuner
Nr. 08;Telemark;Nr. 0827;Hjartdal;18 kommuner
Nr. 08;Telemark;Nr. 0828;Seljord;18 kommuner
Nr. 08;Telemark;Nr. 0829;Kviteseid;18 kommuner
Nr. 08;Telemark;Nr. 0830;Nissedal;18 kommuner
Nr. 08;Telemark;Nr. 0831;Fyresdal;18 kommuner
Nr. 08;Telemark;Nr. 0833;Tokke;18 kommuner
Nr. 08;Telemark;Nr. 0834;Vinje;18 kommuner
Nr. 09;Aust-Agder;Nr. 0901;Risør;15 kommuner
Nr. 09;Aust-Agder;Nr. 0904;Grimstad;15 kommuner
Nr. 09;Aust-Agder;Nr. 0906;Arendal;15 kommuner
Nr. 09;Aust-Agder;Nr. 0911;Gjerstad;15 kommuner
Nr. 09;Aust-Agder;Nr. 0912;Vegårshei;15 kommuner
Nr. 09;Aust-Agder;Nr. 0914;Tvedestrand;15 kommuner
Nr. 09;Aust-Agder;Nr. 0919;Froland;15 kommuner
Nr. 09;Aust-Agder;Nr. 0926;Lillesand;15 kommuner
Nr. 09;Aust-Agder;Nr. 0928;Birkenes;15 kommuner
Nr. 09;Aust-Agder;Nr. 0929;Åmli;15 kommuner
Nr. 09;Aust-Agder;Nr. 0935;Iveland;15 kommuner
Nr. 09;Aust-Agder;Nr. 0937;Evje og Hornnes;15 kommuner
Nr. 09;Aust-Agder;Nr. 0938;Bygland;15 kommuner
Nr. 09;Aust-Agder;Nr. 0940;Valle;15 kommuner
Nr. 09;Aust-Agder;Nr. 0941;Bykle;15 kommuner
Nr. 10;Vest-Agder;Nr. 1001;Kristiansand;15 kommuner
Nr. 10;Vest-Agder;Nr. 1002;Mandal;15 kommuner
Nr. 10;Vest-Agder;Nr. 1003;Farsund;15 kommuner
Nr. 10;Vest-Agder;Nr. 1004;Flekkefjord;15 kommuner
Nr. 10;Vest-Agder;Nr. 1014;Vennesla;15 kommuner
Nr. 10;Vest-Agder;Nr. 1017;Songdalen;15 kommuner
Nr. 10;Vest-Agder;Nr. 1018;Søgne;15 kommuner
Nr. 10;Vest-Agder;Nr. 1021;Marnardal;15 kommuner
Nr. 10;Vest-Agder;Nr. 1026;Åseral;15 kommuner
Nr. 10;Vest-Agder;Nr. 1027;Audnedal;15 kommuner
Nr. 10;Vest-Agder;Nr. 1029;Lindesnes;15 kommuner
Nr. 10;Vest-Agder;Nr. 1032;Lyngdal;15 kommuner
Nr. 10;Vest-Agder;Nr. 1034;Hægebostad;15 kommuner
Nr. 10;Vest-Agder;Nr. 1037;Kvinesdal;15 kommuner
Nr. 10;Vest-Agder;Nr. 1046;Sirdal;15 kommuner
Nr. 11;Rogaland;Nr. 1101;Eigersund;26 kommuner
Nr. 11;Rogaland;Nr. 1102;Sandnes;26 kommuner
Nr. 11;Rogaland;Nr. 1103;Stavanger;26 kommuner
Nr. 11;Rogaland;Nr. 1106;Haugesund;26 kommuner
Nr. 11;Rogaland;Nr. 1111;Sokndal;26 kommuner
Nr. 11;Rogaland;Nr. 1112;Lund;26 kommuner
Nr. 11;Rogaland;Nr. 1114;Bjerkreim;26 kommuner
Nr. 11;Rogaland;Nr. 1119;Hå;26 kommuner
Nr. 11;Rogaland;Nr. 1120;Klepp;26 kommuner
Nr. 11;Rogaland;Nr. 1121;Time;26 kommuner
Nr. 11;Rogaland;Nr. 1122;Gjesdal;26 kommuner
Nr. 11;Rogaland;Nr. 1124;Sola;26 kommuner
Nr. 11;Rogaland;Nr. 1127;Randaberg;26 kommuner
Nr. 11;Rogaland;Nr. 1129;Forsand;26 kommuner
Nr. 11;Rogaland;Nr. 1130;Strand;26 kommuner
Nr. 11;Rogaland;Nr. 1133;Hjelmeland;26 kommuner
Nr. 11;Rogaland;Nr. 1134;Suldal;26 kommuner
Nr. 11;Rogaland;Nr. 1135;Sauda;26 kommuner
Nr. 11;Rogaland;Nr. 1141;Finnøy;26 kommuner
Nr. 11;Rogaland;Nr. 1142;Rennesøy;26 kommuner
Nr. 11;Rogaland;Nr. 1144;Kvitsøy;26 kommuner
Nr. 11;Rogaland;Nr. 1145;Bokn;26 kommuner
Nr. 11;Rogaland;Nr. 1146;Tysvær;26 kommuner
Nr. 11;Rogaland;Nr. 1149;Karmøy;26 kommuner
Nr. 11;Rogaland;Nr. 1151;Utsira;26 kommuner
Nr. 11;Rogaland;Nr. 1160;Vindafjord;26 kommuner
